phrases,partisanship
congression printer,-182.431552949032
also petit,-129.647528757914
speci payment,89.6626923079307
increas salari,-78.0598839905025
state note,61.9862516419813
citizen unit,-53.9363294682883
color peopl,-53.7314420978359
privileg immun,-42.4528236554046
similar import,-41.2110589632686
treasuri depart,35.5380121093224
secretari navi,-33.7315527833129
supervisor registr,-33.1785427082806
postoffic depart,32.8579312957079
circul note,28.4110223069409
immun citizen,-28.4056510076494
secretari treasuri,27.2609828369571
citizen state,-26.6178183978984
great britain,-26.498191206665
feder court,-25.8036569351252
confeder govern,25.269330982114
tribal organ,-22.3266994879967
san francisco,-21.7614844262192
abridg privileg,-21.6382730153533
five hundr,21.0436394919166
distinguish friend,20.2542080488802
citi savannah,18.4136455743229
civil war,-17.8803567702527
thousand men,16.4693131395693
fifti dollar,14.5256684539025
irredeem paper,14.3575934881042
mail servic,14.2756023731253
claus constitut,-14.2214350310744
last congress,-14.1231080270187
par gold,14.1152575565994
gold coin,13.6672244062921
board audit,-13.5139343604077
increas currenc,13.4807400840514
confer upon,-12.8481711427649
right state,-12.7336267302599
legaltend note,12.6830856701306
nation currenc,12.6305485644058
redeem note,12.111764717758
state depriv,-12.02106132895
said northern,11.5514331344096
citi philadelphia,11.0883034344969
salt lake,-11.0355830911227
tax upon,-10.6976782375231
resum speci,10.6234969370114
twentyf thousand,10.5969430133564
regul valu,10.4823195075285
nation debt,10.2554502539248
qualif juror,-9.94246473056887
regul commerc,-9.85657352570169
express compani,9.69534408635122
northern judici,9.39431534771016
receiv deliv,-9.14344660310388
bolivian govern,-9.09132359040826
freedeliveri system,8.87106763235483
railroad commission,-8.74671778714813
salari made,-8.44687209154491
current expens,8.40945278710885
divis said,8.28396409706307
liberti properti,-8.07144635682889
natur citizen,-8.01225919013168
irredeem currenc,7.97795531454355
friend increas,7.91569076673302
two cent,7.88969332842377
accord refer,-7.85050180518055
eight cent,7.73150583066248
seven hundr,7.49473771491649
note gold,7.41874437432445
intern revenu,-7.36444772125496
court jurisdict,-7.1561958271641
solemn pledg,7.15240831669889
tender payment,6.95284165845848
cost collect,-6.91351430205804
allow mileag,-6.87205497503474
citizenship unit,-6.85521236505218
fraction currenc,6.84069794319094
superintend salari,-6.8150382429204
speci standard,6.73960350064903
popul wealth,-6.72499863372242
pay coin,6.68705038745009
freedom elect,6.65447674643158
equal bounti,6.4878997612233
great abus,-6.42710350917419
central pacif,-6.38702255990504
retir nationalbank,-6.19650589689234
come hero,6.12759517132542
sixti cent,6.1199233393581
twentyf million,6.10486803026429
collect intern,-6.06988626514685
thirteenth fourteenth,6.05228047860111
rest secur,-5.9907153088739
oi floor,-5.92517583005288
nationalbank act,5.90520531753245
addit compens,-5.80390626151991
question financ,5.68726084922126
nake question,-5.61923462859614
valu greenback,5.58033056866433
color woman,-5.51259862901132
three counti,5.51143080232485
tax whiski,5.46429862643826
par coin,5.42500525515526
whether salari,-5.40266778878412
utit state,5.30701674316813
exclus order,5.29189316618576
account color,5.27601752777263
eastern western,5.18670475677465
note equal,5.15113872786115
paper possess,-5.14179378359143
contain popul,5.09712433289024
militari interfer,-5.05155806860521
indian great,-4.99003882222316
polit caus,4.95318934765532
claim also,-4.94583776931655
duti impost,-4.92978054892745
class two,4.88818161521166
upon oath,4.85401850564815
said board,-4.84203272202129
six dollar,-4.82615926163483
ny friend,4.82450938954699
ny colleagu,-4.74365949016111
afford facil,4.72327119271772
portion armi,-4.61483888129131
tobacco whiski,4.60799297235807
want commerc,4.55716332063479
redeem coin,4.55472410755421
general calendar,4.52745215978881
net know,4.51913227505243
constitut right,-4.50335088134822
amount currenc,4.50261397236284
everi associ,4.46484425637861
nation banker,-4.44832831870834
gave certif,-4.44371989797689
compulsori educ,-4.42378169989417
great mani,4.4154368806117
